6093974|||||Daum|||||(French, est.1878)|||||Grand Vase|||||Lot 191 - Cornette de Saint Cyr, Paris (November 04, 2015)|||||Arts Decoratifs du XXe Siecle - Design (Sale )||||||||||Estimate:  300 - 500 EUR|||||Materials: crystal Measurements: 11.81 in. (30.00 cm.) (height) by 10.63 in. (27.00 cm.) (width) Markings: signed 'Daum France'
6093975|||||Nico Molenkamp|||||(Dutch, 1920 - 1998)|||||Vogel|||||Lot 147 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  1,000 - 2,000 EUR|||||Materials: Oil on canvas Measurements: 74.53 in. (189.30 cm.) (height) by 70.71 in. (179.60 cm.) (width) Markings: Signed l.r. Signed and titled on the stretcher Provenance: Corporate collection, The Netherlands
6093976|||||Roberto Matta|||||(Chilean, 1911 - 2002)|||||Senza titolo|||||Lot 9 - FidesArte, Venice (December 10, 2015)|||||Arte Moderna e Contemporanea (Sale 67)||||||||||Estimate:  500 - 600 EUR|||||Materials: lithograph Measurements: 22.44 in. (57.00 cm.) (height) by 30.71 in. (78.00 cm.) (width) Edition: AP Markings: signed l.r.; editioned l.l.
6093977|||||Pierre Paulin|||||(French, 1927 - 2009)|||||Suite De Quatre Fauteuils Tulip|||||Lot 192 - Cornette de Saint Cyr, Paris (November 04, 2015)|||||Arts Decoratifs du XXe Siecle - Design (Sale )||||||||||Estimate:  800 - 1,200 EUR|||||Materials: cast aluminium base and white fabric Measurements: 29.92 in. (76.00 cm.) (height) by 26.77 in. (68.00 cm.) (width) by 20.87 in. (53.00 cm.) (depth) Size Notes: length Description: produced by Artifort Markings: producer's mark (verso of the base) Condition: spotting
6093978|||||Pierre Paulin|||||(French, 1927 - 2009)|||||Fauteuil Pivotant Globe|||||Lot 193 - Cornette de Saint Cyr, Paris (November 04, 2015)|||||Arts Decoratifs du XXe Siecle - Design (Sale )||||||||||Estimate:  400 - 600 EUR|||||Materials: circular chrome metal base and seat covered with blue wool Measurements: 29.13 in. (74.00 cm.) (height) by 31.50 in. (80.00 cm.) (width) by 25.59 in. (65.00 cm.) (depth)
6093979|||||Herman Brood|||||(Dutch, 1946 - 2001)|||||Trumpet|||||Lot 148 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  800 - 1,200 EUR|||||Materials: Mixed media on canvas Measurements: 39.25 in. (99.70 cm.) (height) by 31.42 in. (79.80 cm.) (width) Markings: Signed u.r. Provenance: Coach Art, Amsterdam. Private collection, The Netherlands
6093980|||||Alois Carigiet|||||(Swiss, 1902 - 1985)|||||Wintertag|||||Lot 3504 - Schuler Auktionen, Zurich (December 07, 2015)|||||Auktion 139 (Sale 139)||||||||||Estimate: 700 - 1,200 CHF|||||Materials: color lithograph Measurements: 26.69 in. (67.80 cm.) (height) by 25.20 in. (64.00 cm.) (width) Edition: 127 of 200 Markings: signed and dated in pencil on right Condition: slightly tanned and slightly foxed sheet; slightly wavy; few creases; slightly damaged margins and edges Literature: Neuburg Nr. 75 m. Abb.
6093981|||||Michele de Lucchi|||||(Italian, 1951)|||||Lampadaire 'Grand'|||||Lot 194 - Cornette de Saint Cyr, Paris (November 04, 2015)|||||Arts Decoratifs du XXe Siecle - Design (Sale )||||||||||Estimate:  800 - 1,200 EUR|||||Materials: lacquered metal and plexiglass Measurements: 87.80 in. (223.00 cm.) (height) by 33.46 in. (85.00 cm.) (width) Description: produced by Memphis Milano Markings: producer's plaque dated '1983'
6093982|||||Alois Carigiet|||||(Swiss, 1902 - 1985)|||||Dorfbild mit Schafen|||||Lot 3505 - Schuler Auktionen, Zurich (December 07, 2015)|||||Auktion 139 (Sale 139)||||||||||Estimate: 800 - 1,200 CHF|||||Materials: color lithograph Measurements: 22.05 in. (56.00 cm.) (height) by 29.84 in. (75.80 cm.) (width) Size Notes: sheet size Edition: 188 of 200 Markings: signed and dated in pencil l.r. Condition: framed; wavy and minimally tanned sheet; few creases; partially mounted on backing board on upper margin verso Literature: Neuburg Nr. 106 m. Abb.
6093983|||||Arne Jacobsen|||||(Danish, 1902 - 1971)|||||Suite De Six Chaises|||||Lot 195 - Cornette de Saint Cyr, Paris (November 04, 2015)|||||Arts Decoratifs du XXe Siecle - Design (Sale )||||||||||Estimate:  2,200 - 2,800 EUR|||||Materials: rosewood veneer resting on three legs in chromed metal tube and rubber pads in the feet Measurements: 30.71 in. (78.00 cm.) (height) by 16.93 in. (43.00 cm.) (width) by 16.93 in. (43.00 cm.) (depth) Description: produced by Fritz Hansen; model 'ANT- 3100' Markings: dated '1969' (four works), '1968' and '1970'
