Etienne Beothy|||||(Hungarian, 1897 - 1961)|||||Sans titre|||||Lot 1 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 585 USD 547 EUR 383 GBP|||||Original Currency of Sale:   547 EUR Premium Estimate:   2,000 - 3,000 EUR|||||Materials: gouache on paper Measurements: 22.24 in. (56.50 cm.) (height) by 29.53 in. (75.00 cm.) (width) Markings: monogrammed and dated l.r.; countersigned, dated and artist's studio stamp verso
Sam Vanni|||||(Finnish, 1908 - 1992)|||||[Untitled]|||||Lot 133 - Hagelstam & Co, Helsinki (October 20, 2015)|||||Monthly Auction (Sale )|||||$ 363 USD 320 EUR 235 GBP|||||Original Currency of Sale:   320 EUR Hammer Estimate:   350 EUR|||||Materials: print Measurements: 24.41 in. (62.00 cm.) (height) by 18.50 in. (47.00 cm.) (width) Edition: 45/75 Markings: signed
Sam Vanni|||||(Finnish, 1908 - 1992)|||||[Untitled]|||||Lot 134 - Hagelstam & Co, Helsinki (October 20, 2015)|||||Monthly Auction (Sale )|||||$ 965 USD 850 EUR 624 GBP|||||Original Currency of Sale:   850 EUR Hammer Estimate:   350 EUR|||||Materials: print Measurements: 22.44 in. (57.00 cm.) (height) by 27.95 in. (71.00 cm.) (width) Markings: signed
Etienne Beothy|||||(Hungarian, 1897 - 1961)|||||Sans titre|||||Lot 2 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||Bought In|||||Estimate:   1,200 - 1,500 EUR|||||Materials: gouache on paper Measurements: 11.81 in. (30.00 cm.) (height) by 12.01 in. (30.50 cm.) (width) Markings: monogrammed and dated at bottom; countersigned and artist's studio stamp verso
Olavi Laine|||||(Finnish, 1922 - 1983)|||||Landscape|||||Lot 136 - Hagelstam & Co, Helsinki (October 20, 2015)|||||Monthly Auction (Sale )|||||$ 272 USD 240 EUR 176 GBP|||||Original Currency of Sale:   240 EUR Hammer Estimate:   200 EUR|||||Materials: oil Measurements: 28.74 in. (73.00 cm.) (height) by 23.62 in. (60.00 cm.) (width) Markings: signed
Etienne Beothy|||||(Hungarian, 1897 - 1961)|||||Sans titre|||||Lot 3 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 2,068 USD 1,934 EUR 1,354 GBP|||||Original Currency of Sale:   1,934 EUR Premium Estimate:   1,500 - 2,000 EUR|||||Materials: gouache on paper Measurements: 19.69 in. (50.00 cm.) (height) by 11.81 in. (30.00 cm.) (width) Description: certificate of authenticity from Ayin Beothy, daughter of the artist, included with lot Markings: artist's studio stamp verso
Enrico Castellani|||||(Italian, 1930)|||||Superficie|||||Lot 202 - Poleschi Casa d'Aste, Milan (November 10, 2015)|||||Arte Moderna e Contemporanea (Sale 17)|||||$ 1,933 USD 1,800 EUR 1,284 GBP|||||Original Currency of Sale:   1,800 EUR Hammer Estimate:   3,000 - 4,000 EUR|||||Materials: structured Moulin du Guet paper Measurements: 24.41 in. (62.00 cm.) (height) by 35.55 in. (90.30 cm.) (width) Edition: Edition of 100 Description: Printer and editor Severgnini-Cernusco sul 
Naviglio (MI) Markings: signed and dated 'Castellani 92', l.r.; inscribed 'p.a.f.c.', l.l.
Auguste Herbin|||||(French, 1882 - 1960)|||||Peissi|||||Lot 4 - Millon & Associes, Paris (November 18, 2015)|||||Art Contemporain (Sale )|||||$ 21,376 USD 19,987 EUR 13,997 GBP|||||Original Currency of Sale:   19,987 EUR Premium Estimate:   8,000 - 10,000 EUR|||||Materials: gouache on paper Measurements: 8.66 in. (22.00 cm.) (height) by 10.24 in. (26.00 cm.) (width) Markings: signed and dated l.r., titled l.l.
Ernst Mether-Borgstrom|||||(Finnish, 1917 - 1996)|||||[Untitled]|||||Lot 137 - Hagelstam & Co, Helsinki (October 20, 2015)|||||Monthly Auction (Sale )|||||$ 386 USD 340 EUR 249 GBP|||||Original Currency of Sale:   340 EUR Hammer Estimate:   350 EUR|||||Materials: print Measurements: 20.47 in. (52.00 cm.) (height) by 25.59 in. (65.00 cm.) (width) Edition: 40/100 Markings: signed
